company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
,,,US,G2SF 3 11/15,G2SF,BBG007GBX5Q6,US21H0306B55,21H0306B5,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,,96934179507,,0.15,121633827,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 11/15,G2SF,BBG007GBX6X6,US21H0406B47,21H0406B4,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857,8567362,4,,13163857348,,0.2,8567362,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 4 12/15,FNCL,BBG007NHT7V0,US01F0406C67,01F0406C6,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,37969869,24172296,4,,37969868784,,0.1,24172296,103.965,1,1.04065,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 12/15,G2SF,BBG007NHTZS2,US21H0426C83,21H0426C8,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,,86532994103,,0.2,50821206,104.373,1,1.04573,,,,,1,,,,2019Q4
,,,US,FGLMC 4 12/15,FGLMC,BBG007NHV1V0,US02R0406C13,02R0406C1,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215337.694,4369096.696,4,,7215337694,,0.1,4369096.696,104.05,1,1.0415,,,,,1,,,,2019Q4
,,,US,FGTW 3 1/16,FGTW,BBG007V3C8L9,US02R0305174,02R030517,,Bonds,,FGLMC Single Family 20yr,,Other,,TBAs,,,46234793.48,,3,,46234793481,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 1/16,G2SF,BBG007V3CNW4,US21H0426120,21H042612,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994.1,50821206.36,4.5,105.242,86532994103,1,0.25,50821206.36,104.66,1,1.0491,,,,,1,,,,2019Q4
,,,US,FNCT 3 1/16,FNCT,BBG007V3D0J8,US01F0305122,01F030512,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,112607055,,3,,113000000000,,,,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 2/16,FNCL,BBG0081RRP60,US01F0326250,01F032625,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,4118667.271,2853918.749,3.5,102.983,4118667271,1,0.097222222,2853918.749,102.969,1,1.030662222,,,,,1,,,,2019Q4
,,,US,FGLMC 4 2/16,FGLMC,BBG0081RSDB0,US02R0406238,02R040623,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215337.694,4369096.696,4,104.438,7215337694,1,0.111111111,4369096.696,104.21,1,1.043211111,,,,,1,,,,2019Q4
