investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,valid_input,direct_holding,security_mapped_sector,financial_sector,sectors_with_assets,has_ald_in_fin_sector,flag
Test,auto_eq_cb_full,BR178906,US12201PAN69,908666,Burlington Resources Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,auto_eq_cb_full,BR362474,US737679DD90,5050300,Potomac Electric Power Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR629831,US136385AV34,422021,Canadian Natl Resources,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR131800,US91913YAE05,6738145,Valero Energy Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Power + Shipping,FALSE,Included in analysis
Test,auto_eq_cb_full,BR462874,US29365PAP71,3522349,NA,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR596508,US26884LAE92,1977480,Eqt Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas,TRUE,Included in analysis
Test,auto_eq_cb_full,BR87866,US693304AV99,1026533,Peco Energy Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR541736,US00908PAA57,918825,Air Canada 2017-1aa Ptt,Bonds,TRUE,TRUE,Aviation,Aviation,Aviation,TRUE,Included in analysis
Test,auto_eq_cb_full,BR386666,US25179SAD27,1372805,NA,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR170848,US465685AK11,994061,Itc Holdings Corp,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR124682,US040555CP79,11399910,Arizona Public Service Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR110235,US032511AY39,13080971,Anadarko Petroleum Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Coal + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR110486,US55336VAK61,3027653,Mplx Lp,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR25075,US87305NAV01,1646807,NA,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR408177,US001546AT71,606200,Ak Steel Corp,Bonds,TRUE,TRUE,Steel,Steel,Aviation + Coal + Steel,TRUE,Included in analysis
Test,auto_eq_cb_full,BR403063,US95709TAJ97,1080837,Evergy Kansas Central Inc,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR388340,US35671DBJ37,6229136,Freeport-Mcmoran Inc,Bonds,TRUE,TRUE,Other,Other,Oil&Gas + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR238301,US171798AD34,18875701,Cimarex Energy Co,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas,TRUE,Included in analysis
Test,auto_eq_cb_full,BR525136,US345370CQ17,177328,NA,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR159328,US74456QBN51,13659557,Public Service Electric & Gas,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR157850,US976826BJ50,352262,Wisconsin Power & Light Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR500481,US87305QCK58,996160,NA,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR171167,XS0982861287,531875,Mmc Norilsk (Mmc Fin),Bonds,TRUE,TRUE,Steel,Steel,Aviation + Oil&Gas + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR268784,US136385AT87,40472543,Canadian Natl Resources,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR596482,US867224AA59,1801008,Suncor Energy Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR93095,US012873AK13,12885380,Ovintiv Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR533355,US20826FAD87,2059091,Conocophillips Co,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,auto_eq_cb_full,BR579280,US858119BD11,799872,Steel Dynamics Inc,Bonds,TRUE,TRUE,Steel,Steel,Aviation + Steel,TRUE,Included in analysis
Test,auto_eq_cb_full,BR644790,US202795JG61,213830,Commonwealth Edison Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR660042,US233851CZ53,1452577,Daimler Finance Na Llc,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR91903,US166764AH30,6597353,Chevron Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,auto_eq_cb_full,BR141353,US02361DAQ34,606010,Ameren Illinois Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR293207,US87425EAJ29,9078093,Repsol Oil & Gas Canada Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR17012,US845467AL33,3631250,Southwestern Energy Co,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas,TRUE,Included in analysis
